City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
251,Ugoofaaru,MV,80.82,overcast clouds,5.6667,73.0,Ungoofaaru Inn
252,Harnoli,PK,74.5,clear sky,32.2792,71.5539,Masjid Kosar Tableeghi Markaz
253,Rocha,UY,62.91,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
254,Christchurch,NZ,55.9,overcast clouds,-43.5333,172.6333,The George
255,Kaeo,NZ,53.19,clear sky,-35.1,173.7833,Bushido Lodge
256,Miranda,CO,79.2,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
257,Juazeiro,BR,93.99,overcast clouds,-9.4117,-40.4986,JB Hotel
258,Ponta Delgada,PT,65.5,light intensity shower rain,37.7333,-25.6667,Vila Nova Hotel
259,Rawson,AR,78.22,clear sky,-43.3002,-65.1023,Hosteria Sampedro
261,Asau,RO,54.52,few clouds,46.4333,26.4,Casa Mika Ciobanus
267,Punto Fijo,VE,87.8,overcast clouds,11.6956,-70.1996,Santa Fe Inn Hotel
268,New Glasgow,CA,60.78,overcast clouds,45.5834,-62.6486,"Holiday Inn Express Stellarton-New Glasgow, an IHG Hotel"
269,San Quintin,MX,67.64,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
270,Kahului,US,86.02,clear sky,20.8947,-156.47,Maui Seaside Hotel
272,Acari,PE,78.24,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
273,Northam,GB,54.61,overcast clouds,51.0333,-4.2167,Durrant House Hotel
274,Morgan City,US,82.0,broken clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
275,Huarmey,PE,68.02,broken clouds,-10.0681,-78.1522,Hotel Miramar
276,Mastung,PK,57.9,clear sky,29.7994,66.845,Al Hasnan Cold Drink Santer
277,Camana,PE,67.48,broken clouds,-16.6228,-72.7111,Hostal Morales
278,Mabiton,PH,81.84,overcast clouds,12.8334,123.2612,
279,Point Pedro,LK,78.96,broken clouds,9.8167,80.2333,Gtr homes
280,Lata,PT,63.07,overcast clouds,40.1629,-8.3327,Casa Maquia
281,Racine,US,76.95,clear sky,42.7495,-88.0751,
282,Dana Point,US,73.04,broken clouds,33.467,-117.6981,Laguna Cliffs Marriott Resort & Spa
283,Jiblah,YE,61.68,clear sky,13.9216,44.1467,Tiger Tower Hotel
284,Reconquista,AR,80.8,clear sky,-29.15,-59.65,Grand Hotel
286,Omboue,GA,77.05,light rain,-1.5746,9.2618,Hotel Olako
287,Saldanha,ZA,62.31,broken clouds,-33.0117,17.9442,Blue Bay Lodge
288,Marsh Harbour,BS,78.64,clear sky,26.5412,-77.0636,Abaco Beach Resort
289,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
291,Sao Geraldo Do Araguaia,BR,96.93,heavy intensity rain,-6.4006,-48.555,Hotel Por do Sol
293,Dharchula,IN,56.48,clear sky,29.85,80.5333,Mahara Hotel
296,Lebu,CL,55.44,clear sky,-37.6167,-73.65,Hostal Las Lilas
298,West Plains,US,76.03,few clouds,36.7281,-91.8524,West Plains Motel
299,Caohai,CN,52.95,overcast clouds,26.8661,104.2841,Jinhua Hotel
300,Licheng,CN,68.95,few clouds,23.2955,113.8284,Xincheng Tourism Industry
301,Diamantino,BR,80.53,overcast clouds,-14.4086,-56.4461,Hotel Delta
303,Nishihara,JP,74.48,clear sky,26.1842,127.7558,Minshuku Agaihama
304,Araouane,ML,86.49,overcast clouds,18.9048,-3.5265,
306,San Juan,AR,84.07,clear sky,-31.5375,-68.5364,Hotel Provincial
307,Upata,VE,81.97,broken clouds,8.0086,-62.3989,Posada Villa Nela
308,Pierre,US,77.05,clear sky,44.3683,-100.351,Ramkota Hotel
309,Benjamin Hill,MX,72.68,broken clouds,30.1667,-111.1,Hotel Benjamín Hill
310,Bad Reichenhall,DE,60.35,clear sky,47.7333,12.8833,AMBER HOTEL BAVARIA Bad Reichenhall
312,Carauari,BR,76.21,overcast clouds,-4.8828,-66.8958,Hotel Fellip
